Symbol,Name,Sector,Industry
FFH.TO,Fairfax Financial Holdings,Financials,Property & Casualty Insurance
IMO.TO,Imperial Oil Ltd,Energy,Integrated Oil & Gas
CVE.TO,Cenovus Energy Inc,Energy,Integrated Oil & Gas
HSE.TO,Husky Energy Inc,Energy,Integrated Oil & Gas
PPL.TO,Pembina Pipeline Corp,Energy,Oil & Gas Storage & Transportation
KEY.TO,Keyera Corp,Energy,Oil & Gas Storage & Transportation
ARX.TO,ARC Resources Ltd,Energy,Oil & Gas Exploration & Production
TVE.TO,Tamarack Valley Energy,Energy,Oil & Gas Exploration & Production
WCP.TO,Whitecap Resources,Energy,Oil & Gas Exploration & Production
TOU.TO,Tourmaline Oil Corp,Energy,Oil & Gas Exploration & Production
MEG.TO,MEG Energy Corp,Energy,Oil & Gas Exploration & Production
VET.TO,Vermilion Energy Inc,Energy,Oil & Gas Exploration & Production
PSK.TO,PrairieSky Royalty Ltd,Energy,Oil & Gas Royalties & Master Limited Partnerships
BTE.TO,Baytex Energy Corp,Energy,Oil & Gas Exploration & Production
FM.TO,First Quantum Minerals,Materials,Copper
TECK-B.TO,Teck Resources Ltd,Materials,Diversified Metals & Mining
K.TO,Kinross Gold Corp,Materials,Gold
AEM.TO,Agnico Eagle Mines,Materials,Gold
AGI.TO,Alamos Gold Inc,Materials,Gold
WPM.TO,Wheaton Precious Metals,Materials,Gold
OR.TO,Osisko Gold Royalties,Materials,Gold
LUN.TO,Lundin Mining Corp,Materials,Diversified Metals & Mining
IVN.TO,Ivanhoe Mines Ltd,Materials,Diversified Metals & Mining
CCO.TO,Cameco Corp,Energy,Uranium
MG.TO,Magna International,Consumer Discretionary,Automotive Parts & Equipment
DOO.TO,BRP Inc,Consumer Discretionary,Leisure Products
LNR.TO,Linamar Corp,Consumer Discretionary,Automotive Parts & Equipment
GFL.TO,GFL Environmental Inc,Industrials,Environmental & Facilities Services
CAE.TO,CAE Inc,Industrials,Aerospace & Defense
TIH.TO,Toromont Industries,Industrials,Trading Companies & Distributors
STN.TO,Stantec Inc,Industrials,Research & Consulting Services
WSP.TO,WSP Global Inc,Industrials,Research & Consulting Services
TFII.TO,TFI International,Industrials,Cargo Ground Transportation
ATA.TO,ATS Corp,Industrials,Industrial Machinery & Supplies & Components
RBA.TO,Ritchie Bros Auctioneers,Industrials,Diversified Support Services
BB.TO,BlackBerry Ltd,Information Technology,Systems Software
SHOP.TO,Shopify Inc,Information Technology,Application Software
OTEX.TO,Open Text Corp,Information Technology,Application Software
KXS.TO,Kinaxis Inc,Information Technology,Application Software
DSSG.TO,Descartes Systems Group,Information Technology,Application Software
CLS.TO,Celestica Inc,Information Technology,Electronic Manufacturing Services
RCI-B.TO,Rogers Communications,Communication Services,Integrated Telecommunication Services
QBR-B.TO,Quebecor Inc,Communication Services,Cable & Satellite
CTC-A.TO,Canadian Tire Corp,Consumer Discretionary,Specialty Stores
EMP-A.TO,Empire Co Ltd,Consumer Staples,Food Retail
WN.TO,George Weston Ltd,Consumer Staples,Food Retail
GIL.TO,Gildan Activewear,Consumer Discretionary,Apparel Accessories & Luxury Goods
CHP-UN.TO,Choice Properties REIT,Real Estate,Retail REITs
REI-UN.TO,RioCan REIT,Real Estate,Retail REITs
AP-UN.TO,Allied Properties REIT,Real Estate,Office REITs
CAR-UN.TO,Canadian Apartment Properties REIT,Real Estate,Residential REITs
HR-UN.TO,H&R REIT,Real Estate,Diversified REITs
SRU-UN.TO,SmartCentres REIT,Real Estate,Retail REITs
BEI-UN.TO,Boardwalk REIT,Real Estate,Residential REITs
FSV.TO,FirstService Corp,Real Estate,Real Estate Services
ONEX.TO,Onex Corp,Financials,Multi-Sector Holdings
IAG.TO,iA Financial Corp,Financials,Life & Health Insurance
EQB.TO,EQB Inc,Financials,Diversified Banks
ACO-X.TO,Atco Ltd,Utilities,Multi-Utilities
CPX.TO,Capital Power Corp,Utilities,Independent Power Producers & Energy Traders
TA.TO,TransAlta Corp,Utilities,Independent Power Producers & Energy Traders
NPI.TO,Northland Power,Utilities,Renewable Electricity
BLX.TO,Boralex Inc,Utilities,Renewable Electricity
PKI.TO,Parkland Corp,Energy,Oil & Gas Refining & Marketing
LSPD.TO,Lightspeed Commerce,Information Technology,Application Software
REAL.TO,Real Matters Inc,Information Technology,Internet Services & Infrastructure
TOY.TO,Spin Master Corp,Consumer Discretionary,Leisure Products
ARE.TO,Aecon Group Inc,Industrials,Construction & Engineering
IFP.TO,Interfor Corp,Materials,Forest Products
CFP.TO,Canfor Corp,Materials,Forest Products
OSB.TO,Norbord Inc,Materials,Forest Products
