Symbol,Name,Sector,Industry
CW,Curtiss-Wright Corp,Industrials,Aerospace & Defense
CVLT,Commvault Systems,Information Technology,Systems Software
DCI,Donaldson Co Inc,Industrials,Industrial Machinery & Supplies & Components
DINO,HF Sinclair Corp,Energy,Oil & Gas Refining & Marketing
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores
DLB,Dolby Laboratories,Information Technology,Application Software
EBC,Eastern Bankshares,Financials,Regional Banks
EGP,EastGroup Properties,Real Estate,Industrial REITs
EHC,Encompass Health Corp,Healthcare,Health Care Facilities
EME,EMCOR Group Inc,Industrials,Electrical Components & Equipment
ENS,EnerSys,Industrials,Electrical Components & Equipment
ESAB,ESAB Corp,Industrials,Industrial Machinery & Supplies & Components
EVR,Evercore Inc,Financials,Investment Banking & Brokerage
EWBC,East West Bancorp,Financials,Regional Banks
EXLS,ExlService Holdings,Industrials,Data Processing & Outsourced Services
FAF,First American Financial,Financials,Property & Casualty Insurance
FHN,First Horizon Corp,Financials,Regional Banks
FIX,Comfort Systems USA,Industrials,Building Products
FLO,Flowers Foods Inc,Consumer Staples,Packaged Foods & Meats
FLS,Flowserve Corp,Industrials,Industrial Machinery & Supplies & Components
FNB,F.N.B. Corp,Financials,Regional Banks
FNF,Fidelity National Financial,Financials,Property & Casualty Insurance
FR,First Industrial Realty,Real Estate,Industrial REITs
G,Genpact Ltd,Industrials,Data Processing & Outsourced Services
GAP,Gap Inc,Consumer Discretionary,Apparel Retail
GATX,GATX Corp,Industrials,Trading Companies & Distributors
GBCI,Glacier Bancorp Inc,Financials,Regional Banks
GGG,Graco Inc,Industrials,Industrial Machinery & Supplies & Components
GHC,Graham Holdings Co,Consumer Discretionary,Education Services
GLNG,Golar LNG Ltd,Energy,Oil & Gas Storage & Transportation
GPK,Graphic Packaging,Materials,Paper & Plastic Packaging Products & Materials
GTES,Gates Industrial Corp,Industrials,Industrial Machinery & Supplies & Components
HAE,Haemonetics Corp,Healthcare,Health Care Equipment & Supplies
HGV,Hilton Grand Vacations,Consumer Discretionary,Hotels Resorts & Cruise Lines
HLI,Houlihan Lokey Inc,Financials,Investment Banking & Brokerage
HQY,HealthEquity Inc,Healthcare,Health Care Technology
HRB,H&R Block Inc,Consumer Discretionary,Specialized Consumer Services
HRI,Herc Holdings Inc,Industrials,Trading Companies & Distributors
HWC,Hancock Whitney Corp,Financials,Regional Banks
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage
ICLR,ICON plc,Healthcare,Life Sciences Tools & Services
IDA,IDACORP Inc,Utilities,Electric Utilities
INGR,Ingredion Inc,Consumer Staples,Packaged Foods & Meats
INST,Instructure Holdings,Information Technology,Application Software
ITT,ITT Inc,Industrials,Industrial Machinery & Supplies & Components
JEF,Jefferies Financial Group,Financials,Investment Banking & Brokerage
JHG,Janus Henderson Group,Financials,Asset Management & Custody Banks
KMPR,Kemper Corp,Financials,Property & Casualty Insurance
KNX,Knight-Swift Transportation,Industrials,Cargo Ground Transportation
LBRDK,Liberty Broadband Corp,Communication Services,Cable & Satellite
LECO,Lincoln Electric Holdings,Industrials,Industrial Machinery & Supplies & Components
LEG,Leggett & Platt Inc,Consumer Discretionary,Home Furnishings
LFUS,Littelfuse Inc,Industrials,Electrical Components & Equipment
LNTH,Lantheus Holdings,Healthcare,Health Care Equipment & Supplies
LSTR,Landstar System Inc,Industrials,Cargo Ground Transportation
MANH,Manhattan Associates,Information Technology,Application Software
MAN,ManpowerGroup Inc,Industrials,Human Resource & Employment Services
MASI,Masimo Corp,Healthcare,Health Care Equipment & Supplies
MAT,Mattel Inc,Consumer Discretionary,Leisure Products
MEDP,Medpace Holdings Inc,Healthcare,Life Sciences Tools & Services
MIDD,Middleby Corp,Industrials,Industrial Machinery & Supplies & Components
MKSI,MKS Instruments,Information Technology,Electronic Equipment & Instruments
MSA,MSA Safety Inc,Industrials,Environmental & Facilities Services
MUSA,Murphy USA Inc,Consumer Discretionary,Automotive Fuel Stations
NBIX,Neurocrine Biosciences,Healthcare,Pharmaceuticals
NDSN,Nordson Corp,Industrials,Industrial Machinery & Supplies & Components
NNN,NNN REIT Inc,Real Estate,Retail REITs
NOVT,Novanta Inc,Healthcare,Health Care Equipment & Supplies
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment
NYT,New York Times Co,Communication Services,Publishing
OC,Owens Corning,Industrials,Building Products
OGE,OGE Energy Corp,Utilities,Electric Utilities
OGS,ONE Gas Inc,Utilities,Gas Utilities
OHI,Omega Healthcare,Real Estate,Health Care REITs
OLN,Olin Corp,Materials,Commodity Chemicals
OSK,Oshkosh Corp,Industrials,Construction Machinery & Heavy Transportation Equipment
OZK,Bank OZK,Financials,Regional Banks
PAGA,Pagaya Technologies,Financials,Consumer Finance
PCTY,Paylocity Holding,Information Technology,Application Software
PII,Polaris Inc,Consumer Discretionary,Leisure Products
PNM,PNM Resources Inc,Utilities,Electric Utilities
PNFP,Pinnacle Financial Partners,Financials,Regional Banks
POST,Post Holdings Inc,Consumer Staples,Packaged Foods & Meats
PRI,Primerica Inc,Financials,Life & Health Insurance
PVH,PVH Corp,Consumer Discretionary,Apparel Accessories & Luxury Goods
R,Ryder System Inc,Industrials,Cargo Ground Transportation
RBC,RBC Bearings Inc,Industrials,Industrial Machinery & Supplies & Components
RGA,Reinsurance Group,Financials,Reinsurance
RGLD,Royal Gold Inc,Materials,Gold
RHI,Robert Half Inc,Industrials,Human Resource & Employment Services
RNR,RenaissanceRe Holdings,Financials,Reinsurance
RPM,RPM International Inc,Materials,Specialty Chemicals
RS,Reliance Steel,Materials,Steel
SAIA,Saia Inc,Industrials,Cargo Ground Transportation
SAM,Boston Beer Co,Consumer Staples,Brewers
SBRA,Sabra Health Care REIT,Real Estate,Health Care REITs
SF,Stifel Financial Corp,Financials,Investment Banking & Brokerage
SIGI,Selective Insurance Group,Financials,Property & Casualty Insurance
SKX,Skechers USA Inc,Consumer Discretionary,Footwear
SNV,Synovus Financial Corp,Financials,Regional Banks
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials
SPR,Spirit AeroSystems,Industrials,Aerospace & Defense
SSD,Simpson Manufacturing,Industrials,Building Products
STAG,STAG Industrial Inc,Real Estate,Industrial REITs
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production
TFSL,TFS Financial Corp,Financials,Thrifts & Mortgage Finance
THC,Tenet Healthcare Corp,Healthcare,Health Care Facilities
THG,Hanover Insurance Group,Financials,Property & Casualty Insurance
TOL,Toll Brothers Inc,Consumer Discretionary,Homebuilding
TPX,Tempur Sealy International,Consumer Discretionary,Home Furnishings
TREX,Trex Co Inc,Industrials,Building Products
TTC,Toro Co,Industrials,Industrial Machinery & Supplies & Components
TXRH,Texas Roadhouse Inc,Consumer Discretionary,Restaurants
UFPI,UFP Industries Inc,Industrials,Building Products
UMBF,UMB Financial Corp,Financials,Regional Banks
USFD,US Foods Holding Corp,Consumer Staples,Food Distributors
VEEV,Veeva Systems Inc,Healthcare,Health Care Technology
VFC,V.F. Corp,Consumer Discretionary,Apparel Accessories & Luxury Goods
VIRT,Virtu Financial Inc,Financials,Capital Markets
VMI,Valmont Industries,Industrials,Industrial Machinery & Supplies & Components
VOYA,Voya Financial Inc,Financials,Life & Health Insurance
VVV,Valvoline Inc,Consumer Discretionary,Specialty Stores
WBS,Webster Financial Corp,Financials,Regional Banks
WD,Walker & Dunlop Inc,Financials,Diversified Financial Services
WEX,WEX Inc,Financials,Transaction & Payment Processing Services
WH,Wyndham Hotels & Resorts,Consumer Discretionary,Hotels Resorts & Cruise Lines
WLK,Westlake Corp,Materials,Commodity Chemicals
WMS,Advanced Drainage Systems,Industrials,Building Products
WPC,W.P. Carey Inc,Real Estate,Diversified REITs
WSM,Williams-Sonoma Inc,Consumer Discretionary,Home Furnishing Retail
WSO,Watsco Inc,Industrials,Trading Companies & Distributors
WTFC,Wintrust Financial,Financials,Regional Banks
XPO,XPO Inc,Industrials,Cargo Ground Transportation
ZWS,Zurn Elkay Water Solutions,Industrials,Building Products
