Symbol,Name,Sector,Industry
FLYW,Flyway Group Inc,Information Technology,Application Software
FORM,FormFactor Inc,Information Technology,Semiconductor Materials & Equipment
FOXF,Fox Factory Holding,Consumer Discretionary,Automotive Parts & Equipment
FRPT,Freshpet Inc,Consumer Staples,Packaged Foods & Meats
FULT,Fulton Financial,Financials,Regional Banks
GEF,Greif Inc,Materials,Metal Glass & Plastic Containers
GH,Guardant Health Inc,Healthcare,Health Care Technology
GKOS,Glaukos Corp,Healthcare,Health Care Equipment & Supplies
GMS,GMS Inc,Industrials,Building Products
GOLF,Acushnet Holdings,Consumer Discretionary,Leisure Products
GSHD,Goosehead Insurance,Financials,Insurance Brokers
GTY,Getty Realty Corp,Real Estate,Retail REITs
HALO,Halozyme Therapeutics,Healthcare,Biotechnology
HAYW,Hayward Holdings,Industrials,Industrial Machinery & Supplies & Components
HEES,H&E Equipment Services,Industrials,Trading Companies & Distributors
HLF,Herbalife Nutrition,Consumer Staples,Personal Care Products
HLNE,Hamilton Lane Inc,Financials,Asset Management & Custody Banks
HNI,HNI Corp,Industrials,Office Services & Supplies
HRMY,Harmony Biosciences,Healthcare,Pharmaceuticals
HURN,Huron Consulting Group,Industrials,Research & Consulting Services
IAC,IAC Inc,Communication Services,Interactive Media & Services
IART,Integra LifeSciences,Healthcare,Health Care Equipment & Supplies
ICFI,ICF International,Industrials,Research & Consulting Services
ICUI,ICU Medical Inc,Healthcare,Health Care Equipment & Supplies
IDYA,IDEAYA Biosciences,Healthcare,Biotechnology
IMAX,IMAX Corp,Communication Services,Movies & Entertainment
IMVT,Immunovant Inc,Healthcare,Biotechnology
INTA,Intapp Inc,Information Technology,Application Software
IOSP,Innospec Inc,Materials,Specialty Chemicals
IRTC,iRhythm Technologies,Healthcare,Health Care Equipment & Supplies
JACK,Jack in the Box Inc,Consumer Discretionary,Restaurants
JAMF,Jamf Holding Corp,Information Technology,Application Software
KLIC,Kulicke & Soffa,Information Technology,Semiconductor Materials & Equipment
KNF,Knife River Corp,Materials,Construction Materials
KNTK,Kinetik Holdings,Energy,Oil & Gas Storage & Transportation
KOS,Kosmos Energy Ltd,Energy,Oil & Gas Exploration & Production
KTOS,Kratos Defense & Security,Industrials,Aerospace & Defense
LANC,Lancaster Colony Corp,Consumer Staples,Packaged Foods & Meats
LAUR,Laureate Education,Consumer Discretionary,Education Services
LNC,Lincoln National Corp,Financials,Life & Health Insurance
LPX,Louisiana-Pacific Corp,Industrials,Building Products
LUMN,Lumen Technologies,Communication Services,Integrated Telecommunication Services
MATX,Matson Inc,Industrials,Marine Transportation
MCRI,Monarch Casino & Resort,Consumer Discretionary,Casinos & Gaming
MHO,M/I Homes Inc,Consumer Discretionary,Homebuilding
MLI,Mueller Industries,Industrials,Industrial Machinery & Supplies & Components
MMSI,Merit Medical Systems,Healthcare,Health Care Equipment & Supplies
MOD,Modine Manufacturing,Industrials,Electrical Components & Equipment
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components
NABL,N-able Inc,Information Technology,Systems Software
NARI,Inari Medical Inc,Healthcare,Health Care Equipment & Supplies
NEO,NeoGenomics Inc,Healthcare,Health Care Services
NGVT,Ingevity Corp,Materials,Specialty Chemicals
NHC,National HealthCare Corp,Healthcare,Health Care Facilities
NSIT,Insight Enterprises,Information Technology,Technology Distributors
NUVB,Nuvation Bio Inc,Healthcare,Biotechnology
OLED,Universal Display Corp,Information Technology,Electronic Components
ORA,Ormat Technologies,Utilities,Renewable Electricity
OSCR,Oscar Health Inc,Healthcare,Managed Health Care
OTTR,Otter Tail Corp,Utilities,Electric Utilities
PATK,Patrick Industries,Consumer Discretionary,Building Products
PAYC,Paycom Software,Information Technology,Application Software
PENN,PENN Entertainment,Consumer Discretionary,Casinos & Gaming
PGNY,Progyny Inc,Healthcare,Health Care Services
PI,Impinj Inc,Information Technology,Semiconductors
PLAY,Dave & Buster's,Consumer Discretionary,Restaurants
PLNT,Planet Fitness Inc,Consumer Discretionary,Leisure Facilities
PLXS,Plexus Corp,Information Technology,Electronic Manufacturing Services
PRCT,PROCEPT BioRobotics,Healthcare,Health Care Equipment & Supplies
PRIM,Primoris Services,Industrials,Construction & Engineering
PTCT,PTC Therapeutics,Healthcare,Biotechnology
PTGX,Protagonist Therapeutics,Healthcare,Biotechnology
RDNT,RadNet Inc,Healthcare,Health Care Services
REZI,Resideo Technologies,Industrials,Electronic Equipment & Instruments
RGBP,Regen BioPharma,Healthcare,Biotechnology
RIG,Transocean Ltd,Energy,Oil & Gas Drilling
RLJ,RLJ Lodging Trust,Real Estate,Hotel & Resort REITs
RMBS,Rambus Inc,Information Technology,Semiconductors
ROCK,Gibraltar Industries,Industrials,Building Products
RXST,RxSight Inc,Healthcare,Health Care Equipment & Supplies
SABR,Sabre Corp,Information Technology,Application Software
SAFE,Safehold Inc,Real Estate,Diversified REITs
SATS,EchoStar Corp,Communication Services,Cable & Satellite
SHAK,Shake Shack Inc,Consumer Discretionary,Restaurants
SHC,Sotera Health Co,Healthcare,Health Care Services
SKWD,Skyward Specialty Insurance,Financials,Property & Casualty Insurance
SM,SM Energy Co,Energy,Oil & Gas Exploration & Production
SMPL,Simply Good Foods,Consumer Staples,Packaged Foods & Meats
SNDR,Schneider National,Industrials,Cargo Ground Transportation
SPB,Spectrum Brands Holdings,Consumer Staples,Household Products
SPSC,SPS Commerce Inc,Information Technology,Application Software
STEP,StepStone Group Inc,Financials,Asset Management & Custody Banks
SWI,SolarWinds Corp,Information Technology,Systems Software
TENB,Tenable Holdings,Information Technology,Systems Software
TNET,TriNet Group Inc,Industrials,Human Resource & Employment Services
TOST,Toast Inc,Information Technology,Application Software
TRIP,TripAdvisor Inc,Consumer Discretionary,Internet & Direct Marketing Retail
TTMI,TTM Technologies,Information Technology,Electronic Manufacturing Services
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail
VCEL,Vericel Corp,Healthcare,Biotechnology
VIAV,Viavi Solutions,Information Technology,Electronic Equipment & Instruments
VITL,Vital Farms Inc,Consumer Staples,Packaged Foods & Meats
VNT,Vontier Corp,Industrials,Electronic Equipment & Instruments
VRNS,Varonis Systems,Information Technology,Systems Software
WDFC,WD-40 Co,Consumer Staples,Household Products
WING,Wingstop Inc,Consumer Discretionary,Restaurants
WOR,Worthington Enterprises,Materials,Steel
WRBY,Warby Parker Inc,Consumer Discretionary,Specialty Stores
XNCR,Xencor Inc,Healthcare,Biotechnology
ZD,Ziff Davis Inc,Communication Services,Interactive Media & Services
ZI,ZoomInfo Technologies,Information Technology,Application Software
